bookchapter,out_degree,betweenness,eigen
"youngman,  about-this-book",0.0022249849625547227,0.0021970526779942164,0.0021970526779942164
"youngman,  chapter-1",0.00048772987706967004,0.0005867930048830916,0.0005867930048830916
"youngman,  chapter-2",0.0,0.00021383286185324975,0.00021383286185324975
"osherove2,  chapter-1",0.0021307692851785577,0.019215356916446776,0.019215356916446776
"kabacoff2,  about-this-book",0.005664140862786413,0.0034810361405072598,0.0034810361405072598
"kabacoff2,  chapter-1",0.0014636987438155548,0.0015255323987093522,0.0015255323987093522
"kabacoff2,  chapter-19",0.0,0.0004074980093949949,0.0004074980093949949
"kabacoff2,  chapter-2",0.0004892572148893037,0.0007045508758686308,0.0007045508758686308
"kabacoff2,  chapter-4",0.0,0.0002567995809258906,0.0002567995809258906
"rfeldman,  chapter-6",5.091126065445408e-07,2.6429460887540512e-17,2.6429460887540512e-17
"rfeldman,  appendix-a",5.091126065445408e-07,1.5060571683077753e-17,1.5060571683077753e-17
"rfeldman,  chapter-7",5.091126065445408e-07,1.9951009754944827e-17,1.9951009754944827e-17
"khorikov,  chapter-6",0.006079675496978428,0.04816883348110947,0.04816883348110947
"khorikov,  chapter-1",0.007743997220145257,0.027938221163437135,0.027938221163437135
"seemann,  chapter-5",0.0,5.314474144765475e-15,5.314474144765475e-15
"seemann,  chapter-4",0.0,5.314474144765475e-15,5.314474144765475e-15
"rhys,  chapter-12",0.0006917749551017414,0.004271124317757275,0.004271124317757275
"allaire,  chapter-1",0.013262814626879504,0.07310219706088995,0.07310219706088995
"allaire,  about-this-book",0.0020898826207165168,0.03214012046707141,0.03214012046707141
"allaire,  appendix-a",0.0020842823820445273,0.011716217568049032,0.011716217568049032
"rhys,  chapter-10",6.864534978242226e-05,0.0015570889383424837,0.0015570889383424837
"rhys,  chapter-1",0.0025711061598918295,0.019727815138041067,0.019727815138041067
"rhys,  chapter-2",0.0025655059212198387,0.005270765288065143,0.005270765288065143
"allaire,  chapter-2",0.007270094837194672,0.07668540337969364,0.07668540337969364
"rhys,  chapter-15",0.0,0.02049312539223409,0.02049312539223409
"zai,  chapter-3",0.0035895244051533486,0.003412781309033652,0.003412781309033652
"zai,  chapter-2",0.001416004589965313,0.0012442717718615813,0.0012442717718615813
"morales,  welcome",0.014858397427839464,0.00559916612239263,0.00559916612239263
"morales,  chapter-1",0.012337027113237933,0.020571342181586984,0.020571342181586984
"morales,  chapter-8",0.0030537077036876937,0.008740699889079785,0.008740699889079785
"morales,  chapter-9",0.0,0.003185454332125305,0.003185454332125305
"lock,  chapter-7",0.0004841660888238583,1.903392965410614e-26,1.903392965410614e-26
"ponelat,  welcome",0.002388501793603713,5.710178896231844e-26,5.710178896231844e-26
"ponelat,  chapter-1",0.019431818345096056,0.09936848811177658,0.09936848811177658
"lock,  chapter-14",0.0025130825300054317,0.03620804092316164,0.03620804092316164
"smith3,  chapter-3",0.002507482291333442,0.00966993971794278,0.00966993971794278
"smith3,  chapter-1",0.0025018820526614524,0.003523497920979534,0.003523497920979534
"smith3,  chapter-2",0.008590605785420771,0.0037004789555780543,0.0037004789555780543
"grant2,  chapter-2",0.011232496890412929,0.0013510230378284583,0.0013510230378284583
"lock,  chapter-8",0.0,0.0004923127551635804,0.0004923127551635804
"juric2,  chapter-6",0.0,1.903392965410614e-26,1.903392965410614e-26
"juric2,  chapter-7",0.0,6.376366434125559e-25,6.376366434125559e-25
"windmill,  part-1",0.0009476363461340563,0.0034988418886300458,0.0034988418886300458
"orland,  chapter-2",0.002410648191988401,3.9105208474361047e-23,3.9105208474361047e-23
"jones9,  chapter-8",0.0,1.903392965410614e-26,1.903392965410614e-26
"jones9,  chapter-1",1.0182252130890815e-06,1.903392965410614e-26,1.903392965410614e-26
"jones9,  chapter-2",1.0182252130890815e-06,1.903392965410614e-26,1.903392965410614e-26
"jones5,  chapter-1",0.0,6.376366434125559e-25,6.376366434125559e-25
"bhargava,  chapter-3",0.005127764706807491,0.022100467668230914,0.022100467668230914
"bhargava,  chapter-4",0.003242329207392878,0.022326477709036754,0.022326477709036754
"pharrington,  chapter-14",0.0,1.903392965410614e-26,1.903392965410614e-26
"bragilevsky,  chapter-7",0.0034700860705772617,1.5131699152200079e-05,1.5131699152200079e-05
"bragilevsky,  chapter-2",0.0016846311898577426,0.0007196054318566793,0.0007196054318566793
"bragilevsky,  chapter-1",0.003821836617101568,0.0004037040867284327,0.0004037040867284327
"johnsson,  about-this-book",0.0025167387739821745,0.020282261899750464,0.020282261899750464
"vehent,  chapter-1",0.00048772987706967004,0.005416657632532354,0.005416657632532354
"vehent,  chapter-2",0.0,0.0014465861993288266,0.0014465861993288266
"siriwardena,  a-docker-fundamental",0.0,1.903392965410614e-26,1.903392965410614e-26
"psaltis,  chapter-2",0.0,1.903392965410614e-26,1.903392965410614e-26
"foulds2,  chapter-3",5.091126065445408e-07,1.903392965410614e-26,1.903392965410614e-26
"psaltis,  chapter-9",0.0,6.376366434125559e-25,6.376366434125559e-25
"stoneman,  chapter-2",0.0,1.903392965410614e-26,1.903392965410614e-26
"pollard,  chapter-8",0.0004821296383976801,6.376366434125559e-25,6.376366434125559e-25
"duncan,  chapter-1",0.0,1.903392965410614e-26,1.903392965410614e-26
"khan,  chapter-1",0.006193451048346315,0.030375918515209637,0.030375918515209637
"valigi,  chapter-1",0.0009774467230472257,0.011068159993233762,0.011068159993233762
"valigi,  chapter-3",0.007882669276804359,0.015224733415320369,0.015224733415320369
"elger,  chapter-1",0.0,0.07930645316513785,0.07930645316513785
"samir,  welcome",0.002001790161141898,0.00039097767673958037,0.00039097767673958037
"larocca,  chapter-8",0.015920704211957206,0.0351618696211049,0.0351618696211049
"apeltsin,  chapter-7",0.0017895640181942712,0.0034215955475919474,0.0034215955475919474
"krunic,  chapter-5",0.0017839637795222809,0.0009137698990595713,0.0009137698990595713
"larocca,  chapter-2",0.0017783635408502908,0.00033294401978539414,0.00033294401978539414
"yuen,  chapter-2",0.010361033343846372,0.07861638708429068,0.07861638708429068
"posta2,  chapter-2",0.004377035738019941,0.031715710761382875,0.031715710761382875
"hillard,  chapter-3",0.010582728387554474,0.038149478403506215,0.038149478403506215
"cdavis,  about-this-book",0.014814185051746762,0.040585427854032005,0.040585427854032005
"chollet,  about-the-cover",0.0,5.159156970479536e-46,5.159156970479536e-46
"pfeffer,  about-this-book",0.0,3.4050436005164946e-44,3.4050436005164946e-44
"rodger,  chapter-1",0.0020177095815637584,0.026054765016477813,0.026054765016477813
"rodger,  chapter-2",0.00595732463273328,0.08239977408118764,0.08239977408118764
"rodger,  chapter-3",0.0002235037677484532,0.03951864105098988,0.03951864105098988
"richardson3,  about-this-book",0.017478564812251865,0.08199455773602075,0.08199455773602075
"richardson3,  chapter-2",0.0029151787850740405,0.07899975862247931,0.07899975862247931
"richardson3,  chapter-1",0.04521459849995532,0.13481033384159874,0.13481033384159874
"ponge,  chapter-7",0.0,1.903392965410614e-26,1.903392965410614e-26
"ponge,  chapter-8",5.091126065445408e-07,6.376366434125559e-25,6.376366434125559e-25
"ponge,  chapter-9",0.0,0.003180949739444289,0.003180949739444289
"daniels,  chapter-1",0.0,1.903392965410614e-26,1.903392965410614e-26
"fain2,  chapter-15",0.0016214289856849218,0.005608428427175542,0.005608428427175542
"riscutia,  chapter-1",0.03419709232190356,0.08243840905583585,0.08243840905583585
"sholmes2,  about-this-book",0.0029874158030783462,0.022018787205272238,0.022018787205272238
"fain3,  welcome",0.005080004262662791,0.015390637717756324,0.015390637717756324
"robinson4,  welcome",0.0031541749853914833,0.028405819587968836,0.028405819587968836
"robinson4,  chapter-1",0.0019591068911861778,0.010901259873936893,0.010901259873936893
"umali,  about-this-book",0.0052961350568994136,0.014302746705296533,0.014302746705296533
"negro,  chapter-1",0.01380337908442386,0.044649412319300835,0.044649412319300835
"chollet,  about-this-book",0.014278164799654446,0.03734291004134814,0.03734291004134814
"larocca,  welcome",0.010291462379669283,0.01965949164425237,0.01965949164425237
"larocca,  chapter-1",0.00644214332733961,0.009895029826357192,0.009895029826357192
"bell,  about-this-book",0.013686780920147966,0.014429688018105902,0.014429688018105902
"noback,  chapter-1",0.03149537801257813,0.06652994308803434,0.06652994308803434
"munro,  chapter-1",0.03779309890639692,0.20579070005363448,0.20579070005363448
"hurbans,  chapter-1",0.008724122802748582,0.08991278970454868,0.08991278970454868
"negro,  welcome",0.013937998724694322,0.03801636304885856,0.03801636304885856
"wong,  chapter-1",0.012236562900375792,0.09434349735737928,0.09434349735737928
"noback,  chapter-3",0.008117028848035647,0.07868960655015805,0.07868960655015805
"scott4,  chapter-1",0.004322813005148727,0.045243821085301054,0.045243821085301054
"clinton3,  chapter-1",0.014914561435989222,0.13177045234652093,0.13177045234652093
"kopec2,  chapter-4",0.0021086548503983942,0.03519195417176781,0.03519195417176781
"windmill,  chapter-1",0.004531581791739084,0.007908508758691283,0.007908508758691283
"chollet,  chapter-1",0.03129452601654182,0.10090507759586477,0.10090507759586477
"foulds,  chapter-5",0.0019387051095227337,0.0008768615836870249,0.0008768615836870249
"foulds,  chapter-1",0.0,0.000319539248276379,0.000319539248276379
"chollet,  chapter-2",0.014675621122728272,0.04720796148336417,0.04720796148336417
"chollet,  chapter-3",0.011352316994079473,0.0338930647869219,0.0338930647869219
"chollet,  chapter-4",0.0039244470904930065,0.02830454095692,0.02830454095692
"chollet,  chapter-5",0.0021555216561935436,0.0470837020196273,0.0470837020196273
"chollet,  chapter-6",0.0008405590554218857,0.025096842708374298,0.025096842708374298
"kaiser,  chapter-2",0.0,0.016954598977752186,0.016954598977752186
"curcic,  a-setting-up-the-fortran-development-environment",0.0,1.903392965410614e-26,1.903392965410614e-26
"jones3,  chapter-2",0.003860770599629434,1.7983646309787248e-05,1.7983646309787248e-05
"jones3,  chapter-3",0.003855170360957444,6.5540559596983444e-06,6.5540559596983444e-06
"jones9,  about-this-book",0.0,0.0001470711622720645,0.0001470711622720645
"holmes2,  chapter-3",0.0,1.903392965410614e-26,1.903392965410614e-26
"grant2,  chapter-1",0.006727923095486106,7.048377581232378e-06,7.048377581232378e-06
"grant2,  about-this-book",0.0,1.8824835291239756e-06,1.8824835291239756e-06
"nicieja3,  introduction",0.0,5.159156970479536e-46,5.159156970479536e-46
"ceder3,  the-data-science-process",5.091126065445408e-07,3.4050436005164946e-44,3.4050436005164946e-44
"nicieja3,  chapter-1",0.0,1.1071550858649084e-42,1.1071550858649084e-42
"windmill,  chapter-10",0.0,1.903392965410614e-26,1.903392965410614e-26
"coates,  chapter-5",0.0,1.903392965410614e-26,1.903392965410614e-26
"coates,  chapter-10",0.0,6.376366434125559e-25,6.376366434125559e-25
"fain,  about-this-book",0.000994328437076179,0.0021002149754092347,0.0021002149754092347
"fain2,  about-this-book",0.0009887281984041888,0.0005608844589005634,0.0005608844589005634
"ghosh2,  about-this-book",0.0025693345508720914,0.001712534958266187,0.001712534958266187
"stevens2,  welcome",0.006346702644676696,0.0007132087714067891,0.0007132087714067891
"stevens2,  chapter-2",0.0025226833769011504,0.03698726279417154,0.03698726279417154
"stevens2,  chapter-1",0.004494679138222729,0.028488596776282894,0.028488596776282894
"stevens2,  chapter-3",0.004597235109594487,0.01025288453931597,0.01025288453931597
"fain3,  chapter-1",0.006571962622607979,0.014959247154372027,0.014959247154372027
"fain3,  chapter-2",0.00636693933208343,0.02619520009882589,0.02619520009882589
"bjarnason,  chapter-6",0.0,5.159156970479536e-46,5.159156970479536e-46
"riscutia,  about-this-book",0.006705978640564483,0.010915829219125431,0.010915829219125431
"chang,  chapter-7",0.0,1.903392965410614e-26,1.903392965410614e-26
"pearson,  about-this-book",0.0,5.159156970479536e-46,5.159156970479536e-46
"apeltsin,  welcome",0.003897959449050789,0.005039805776019377,0.005039805776019377
"ceder3,  introduction",0.0,5.159156970479536e-46,5.159156970479536e-46
"luksa,  about-this-book",0.00048212963839768013,3.4050436005164946e-44,3.4050436005164946e-44
"carnell,  chapter-1",0.0,1.903392965410614e-26,1.903392965410614e-26
"carnell,  chapter-4",1.0182252130890815e-06,6.376366434125559e-25,6.376366434125559e-25
